Product Link,Product Name,Visual Value
=HYPERLINK("https://pim-maestro-v2-dev.app-play.salesfloor.net/product-inventory-management/Saks-SweatshirtsHoodies-5-rasa/0195750177796";"0195750177796"),LaCoste x Bandier Cotton-Blend Pullover Hoodie,Sweatshirt
=HYPERLINK("https://pim-maestro-v2-dev.app-play.salesfloor.net/product-inventory-management/Saks-SweatshirtsHoodies-5-rasa/0195750177802";"0195750177802"),LaCoste x Bandier Cotton-Blend Pullover Hoodie,Sweatshirt
=HYPERLINK("https://pim-maestro-v2-dev.app-play.salesfloor.net/product-inventory-management/Saks-SweatshirtsHoodies-5-rasa/0196521255477";"0196521255477"),Catalina Floral Cotton French Terry Sweatshirt,Roundneck
=HYPERLINK("https://pim-maestro-v2-dev.app-play.salesfloor.net/product-inventory-management/Saks-SweatshirtsHoodies-5-rasa/0196565014306";"0196565014306"),Loyra Faux Shearling Hoodie,Sweatshirt
=HYPERLINK("https://pim-maestro-v2-dev.app-play.salesfloor.net/product-inventory-management/Saks-SweatshirtsHoodies-5-rasa/0196565014337";"0196565014337"),Loyra Faux Shearling Hoodie,Sweatshirt
=HYPERLINK("https://pim-maestro-v2-dev.app-play.salesfloor.net/product-inventory-management/Saks-SweatshirtsHoodies-5-rasa/0196565321763";"0196565321763"),Hana Zip Hoodie,Sweatshirt
=HYPERLINK("https://pim-maestro-v2-dev.app-play.salesfloor.net/product-inventory-management/Saks-SweatshirtsHoodies-5-rasa/0196565333902";"0196565333902"),Fuzzy Logo Hoodie,Sweatshirt
=HYPERLINK("https://pim-maestro-v2-dev.app-play.salesfloor.net/product-inventory-management/Saks-SweatshirtsHoodies-5-rasa/0196565743329";"0196565743329"),Rey Fuzzy Logo Cotton-Blend Hoodie,Sweatshirt
=HYPERLINK("https://pim-maestro-v2-dev.app-play.salesfloor.net/product-inventory-management/Saks-SweatshirtsHoodies-5-rasa/0196565743428";"0196565743428"),Rey Fuzzy Logo Cotton-Blend Hoodie,Sweatshirt
=HYPERLINK("https://pim-maestro-v2-dev.app-play.salesfloor.net/product-inventory-management/Saks-SweatshirtsHoodies-5-rasa/0196565743428";"0196565743428"),Rey Fuzzy Logo Cotton-Blend Hoodie,ShortSleeves
=HYPERLINK("https://pim-maestro-v2-dev.app-play.salesfloor.net/product-inventory-management/Saks-SweatshirtsHoodies-5-rasa/0196646874843";"0196646874843"),Polo Bear Cotton-Blend Hoodie,Sweatshirt
=HYPERLINK("https://pim-maestro-v2-dev.app-play.salesfloor.net/product-inventory-management/Saks-SweatshirtsHoodies-5-rasa/0197242075047";"0197242075047"),Knit Short-Sleeve Hoodie,Sweatshirt
=HYPERLINK("https://pim-maestro-v2-dev.app-play.salesfloor.net/product-inventory-management/Saks-SweatshirtsHoodies-5-rasa/0400155936221";"0400155936221"),Crystal-Embellished Strawberry Fields Hoodie,Sweatshirt
=HYPERLINK("https://pim-maestro-v2-dev.app-play.salesfloor.net/product-inventory-management/Saks-SweatshirtsHoodies-5-rasa/0400181928481";"0400181928481"),Embroidered Logo Hoodie,Sweatshirt
=HYPERLINK("https://pim-maestro-v2-dev.app-play.salesfloor.net/product-inventory-management/Saks-SweatshirtsHoodies-5-rasa/0400194308423";"0400194308423"),Unisex Venice Patch Hoodie,Sweatshirt
=HYPERLINK("https://pim-maestro-v2-dev.app-play.salesfloor.net/product-inventory-management/Saks-SweatshirtsHoodies-5-rasa/0601560230953";"0601560230953"),Donegal Waffle-Knit Hoodie,Sweatshirt
=HYPERLINK("https://pim-maestro-v2-dev.app-play.salesfloor.net/product-inventory-management/Saks-SweatshirtsHoodies-5-rasa/0601560287810";"0601560287810"),Alpaca-Blend Hoodie,Sweatshirt
=HYPERLINK("https://pim-maestro-v2-dev.app-play.salesfloor.net/product-inventory-management/Saks-SweatshirtsHoodies-5-rasa/0621384589815";"0621384589815"),Cotton Terry Hoodie With Valentine's Day Artwork,Sweatshirt
=HYPERLINK("https://pim-maestro-v2-dev.app-play.salesfloor.net/product-inventory-management/Saks-SweatshirtsHoodies-5-rasa/0628343548319";"0628343548319"),Muskoka Hoodie,Sweatshirt
=HYPERLINK("https://pim-maestro-v2-dev.app-play.salesfloor.net/product-inventory-management/Saks-SweatshirtsHoodies-5-rasa/0667113049113";"0667113049113"),Stretch-Cotton Knit Hoodie,Sweatshirt
=HYPERLINK("https://pim-maestro-v2-dev.app-play.salesfloor.net/product-inventory-management/Saks-SweatshirtsHoodies-5-rasa/0719710609099";"0719710609099"),Pickleball Crewneck Sweatshirt,Roundneck
=HYPERLINK("https://pim-maestro-v2-dev.app-play.salesfloor.net/product-inventory-management/Saks-SweatshirtsHoodies-5-rasa/0719710609457";"0719710609457"),Love Stitched Cotton-Blend Sweatshirt,Roundneck
=HYPERLINK("https://pim-maestro-v2-dev.app-play.salesfloor.net/product-inventory-management/Saks-SweatshirtsHoodies-5-rasa/0719710610323";"0719710610323"),Golf Stitched Crewneck Sweatshirt,Roundneck
=HYPERLINK("https://pim-maestro-v2-dev.app-play.salesfloor.net/product-inventory-management/Saks-SweatshirtsHoodies-5-rasa/0728870412760";"0728870412760"),Floral Bonded Stretch Sweatshirt,Collared
=HYPERLINK("https://pim-maestro-v2-dev.app-play.salesfloor.net/product-inventory-management/Saks-SweatshirtsHoodies-5-rasa/0728870417789";"0728870417789"),Trompe L'oeil Printed Cotton Sweatshirt,ThreeQuarterSleeves
=HYPERLINK("https://pim-maestro-v2-dev.app-play.salesfloor.net/product-inventory-management/Saks-SweatshirtsHoodies-5-rasa/0728870436896";"0728870436896"),Organza Crewneck Pullover,ThreeQuarterSleeves
=HYPERLINK("https://pim-maestro-v2-dev.app-play.salesfloor.net/product-inventory-management/Saks-SweatshirtsHoodies-5-rasa/0728870436919";"0728870436919"),Organza Crewneck Pullover,ThreeQuarterSleeves
=HYPERLINK("https://pim-maestro-v2-dev.app-play.salesfloor.net/product-inventory-management/Saks-SweatshirtsHoodies-5-rasa/0808460122672";"0808460122672"),CozyChic Ultra Lite® Drawstring Sweatshirt,BoatNeck
=HYPERLINK("https://pim-maestro-v2-dev.app-play.salesfloor.net/product-inventory-management/Saks-SweatshirtsHoodies-5-rasa/0808460122726";"0808460122726"),CozyChic Ultra Lite® Drawstring Sweatshirt,ThreeQuarterSleeves
=HYPERLINK("https://pim-maestro-v2-dev.app-play.salesfloor.net/product-inventory-management/Saks-SweatshirtsHoodies-5-rasa/0808460122726";"0808460122726"),CozyChic Ultra Lite® Drawstring Sweatshirt,BoatNeck
=HYPERLINK("https://pim-maestro-v2-dev.app-play.salesfloor.net/product-inventory-management/Saks-SweatshirtsHoodies-5-rasa/0808460258388";"0808460258388"),Malibu Butter Heathered Fleece Pullover Sweatshirt,RegularLength
=HYPERLINK("https://pim-maestro-v2-dev.app-play.salesfloor.net/product-inventory-management/Saks-SweatshirtsHoodies-5-rasa/0808460260763";"0808460260763"),CozyChic Teddy Sweater Hoodie,Sweatshirt
